Avg. Error: 124.0
Flow Id   Actual-Count	Expected-Count
104.17.183.118	9956	10300
159.178.108.111	9848	9872
104.154.198.228	9835	9842
187.237.14.200	9747	10659
159.178.237.53	9681	9691
70.187.95.95	9510	9516
52.84.76.175	9450	9458
103.26.37.253	9324	9358
165.215.209.15	8982	9072
88.231.33.95	8968	8976
73.224.42.241	8910	8918
159.178.102.100	8733	8733
159.178.107.44	8698	8698
54.230.161.109	8673	8675
216.52.195.182	8584	8584
23.202.88.31	8462	8466
104.92.17.82	8390	8400
96.7.182.150	8364	8381
157.55.39.140	8058	8095
149.169.208.76	8030	8082
128.227.112.222	7904	7912
104.16.89.188	7867	7982
69.252.101.144	7763	7763
66.249.64.14	7701	7705
156.154.65.196	7597	7616
159.178.137.117	7581	7601
34.206.148.175	7485	7517
91.198.117.247	7394	7401
63.251.240.12	7380	7400
192.210.199.106	7374	7436
159.178.112.71	7315	7317
174.70.89.126	7291	7433
8.27.160.227	7272	7272
68.64.22.136	7262	7322
172.217.8.80	7187	7197
120.239.64.18	7122	7141
159.178.115.102	7063	7071
159.178.129.112	7011	7401
73.224.76.160	6946	6946
98.18.16.218	6944	6944
71.6.146.185	6808	7083
159.178.129.91	6783	6799
98.18.150.191	6714	6778
95.101.36.67	6666	6666
112.198.103.2	6652	6698
54.192.205.183	6537	6546
159.178.108.48	6501	6508
209.112.113.33	6487	6487
159.178.100.162	6392	6427
198.245.89.70	6296	6360
159.178.119.40	6164	6181
171.161.207.200	6136	6153
159.178.100.82	6058	6188
159.178.100.33	5996	6046
178.33.214.223	5946	5946
207.46.13.156	5892	5894
159.178.32.133	5890	5894
159.178.100.84	5867	5887
66.231.139.112	5862	5874
198.102.61.236	5752	5764
159.178.109.180	5744	5850
66.87.114.206	5722	5726
69.172.201.238	5690	6403
204.74.115.1	5681	5694
104.92.16.146	5571	5607
54.192.205.60	5543	5543
99.166.162.58	5530	5543
128.227.220.36	5525	5909
35.190.151.98	5524	6145
199.204.59.137	5472	5502
167.68.20.174	5423	6484
149.111.148.27	5421	5500
23.15.61.170	5396	5396
40.76.218.33	5386	5512
212.227.17.4	5356	5400
184.50.26.236	5254	5254
107.77.218.214	5254	6688
24.236.111.9	5216	5228
59.45.175.56	5172	5206
216.200.96.194	5168	5220
96.7.49.194	5139	5139
216.58.219.67	5122	5141
209.73.179.8	5108	5108
128.227.236.254	5102	5132
159.178.108.184	5038	5066
208.80.124.2	5001	5005
104.92.12.53	5000	5021
159.178.96.156	4992	6604
208.80.125.4	4966	4971
104.17.8.41	4932	4970
170.146.96.193	4926	5004
128.227.71.18	4926	5320
188.184.36.52	4904	4904
128.227.111.65	4878	4917
54.67.57.25	4848	4855
107.77.220.66	4836	4836
69.241.99.178	4769	4777
159.178.100.234	4717	4741
72.47.228.169	4702	4704
189.230.4.234	4676	4729
