Avg. Error: 515.0
Flow Id   Actual-Count	Expected-Count
104.17.183.118	9956	9997
159.178.108.111	9848	10887
104.154.198.228	9835	11267
187.237.14.200	9747	10430
159.178.237.53	9681	9906
70.187.95.95	9510	9661
52.84.76.175	9450	9471
103.26.37.253	9324	9846
165.215.209.15	8982	8986
88.231.33.95	8968	9177
73.224.42.241	8910	9650
159.178.102.100	8733	9145
159.178.107.44	8698	8750
54.230.161.109	8673	8937
216.52.195.182	8584	9838
23.202.88.31	8462	8488
104.92.17.82	8390	8453
96.7.182.150	8364	8535
157.55.39.140	8058	8650
149.169.208.76	8030	8057
128.227.112.222	7904	8592
104.16.89.188	7867	8177
69.252.101.144	7763	8080
66.249.64.14	7701	7997
156.154.65.196	7597	8084
159.178.137.117	7581	7926
34.206.148.175	7485	7509
91.198.117.247	7394	8093
63.251.240.12	7380	8159
192.210.199.106	7374	7680
159.178.112.71	7315	7386
174.70.89.126	7291	14621
8.27.160.227	7272	8612
68.64.22.136	7262	7282
172.217.8.80	7187	7530
120.239.64.18	7122	7931
159.178.115.102	7063	7700
159.178.129.112	7011	7113
73.224.76.160	6946	6956
98.18.16.218	6944	6952
71.6.146.185	6808	6894
159.178.129.91	6783	6799
98.18.150.191	6714	6819
95.101.36.67	6666	7280
112.198.103.2	6652	6710
54.192.205.183	6537	6993
159.178.108.48	6501	6665
209.112.113.33	6487	10327
159.178.100.162	6392	6431
198.245.89.70	6296	7050
159.178.119.40	6164	6188
171.161.207.200	6136	7371
159.178.100.82	6058	6943
159.178.100.33	5996	7014
178.33.214.223	5946	5960
207.46.13.156	5892	5994
159.178.32.133	5890	5892
159.178.100.84	5867	5888
66.231.139.112	5862	7491
198.102.61.236	5752	6757
159.178.109.180	5744	6578
66.87.114.206	5722	5731
69.172.201.238	5690	5904
204.74.115.1	5681	5805
104.92.16.146	5571	6516
54.192.205.60	5543	5555
99.166.162.58	5530	5668
128.227.220.36	5525	5885
35.190.151.98	5524	5834
199.204.59.137	5472	5704
167.68.20.174	5423	6170
149.111.148.27	5421	5659
23.15.61.170	5396	6336
40.76.218.33	5386	6038
212.227.17.4	5356	5467
184.50.26.236	5254	5661
107.77.218.214	5254	5350
24.236.111.9	5216	6253
59.45.175.56	5172	5204
216.200.96.194	5168	5174
96.7.49.194	5139	5162
216.58.219.67	5122	5346
209.73.179.8	5108	5148
128.227.236.254	5102	5226
159.178.108.184	5038	5593
208.80.124.2	5001	5227
104.92.12.53	5000	5733
159.178.96.156	4992	5776
208.80.125.4	4966	6208
104.17.8.41	4932	5625
170.146.96.193	4926	7452
128.227.71.18	4926	4994
188.184.36.52	4904	5280
128.227.111.65	4878	4930
54.67.57.25	4848	6245
107.77.220.66	4836	5372
69.241.99.178	4769	5305
159.178.100.234	4717	4761
72.47.228.169	4702	6013
189.230.4.234	4676	5001
